method,rmse,top1_regret,top1_hit_rate,seed,coverage,mean_support
fixed_level_4,0.11512450791581347,0.018860794603824615,0.48717948717948717,20260917,0.9112149532710281,29.52820512820513
operational_theorem_frontier,0.11430406256554894,0.0175909623503685,0.5046728971962616,20260917,1.0,0.0
operational_mean_frontier,0.11379115598654965,0.018457569181919098,0.49065420560747663,20260917,1.0,79.2196261682243
old_score_proxy,0.1141030280733911,0.01798424683511257,0.4953271028037383,20260917,1.0,144.17757009345794
base,0.11968991913131681,0.019317399710416794,0.4672897196261682,20260918,1.0,0.0
fixed_level_1,0.11942375059188538,0.019716588780283928,0.4719626168224299,20260918,1.0,194.34579439252337
fixed_level_2,0.11965034504723678,0.01959606446325779,0.4719626168224299,20260918,1.0,177.97663551401868
fixed_level_3,0.12000682382964663,0.020349429920315742,0.4528301886792453,20260918,0.9906542056074766,109.0377358490566
fixed_level_4,0.1172371870449333,0.017818938940763474,0.5052631578947369,20260918,0.8878504672897196,31.07894736842105
operational_theorem_frontier,0.11968991913131681,0.019317399710416794,0.4672897196261682,20260918,1.0,0.0
operational_mean_frontier,0.11948254648373696,0.01948636956512928,0.46261682242990654,20260918,1.0,52.73364485981308
old_score_proxy,0.11898923966938017,0.01849752850830555,0.4719626168224299,20260918,1.0,134.01401869158877
base,0.10831299470426269,0.01961776241660118,0.5046728971962616,20260919,1.0,0.0
fixed_level_1,0.10767660970682646,0.020423278212547302,0.49065420560747663,20260919,1.0,187.4158878504673
fixed_level_2,0.10764815412496194,0.019916793331503868,0.4953271028037383,20260919,1.0,169.92523364485982
fixed_level_3,0.10797855378031379,0.01981320045888424,0.4975845410628019,20260919,0.9672897196261683,102.59420289855072
fixed_level_4,0.11032729341777718,0.02129075862467289,0.46596858638743455,20260919,0.8925233644859814,28.3717277486911
operational_theorem_frontier,0.10831299470426269,0.01961776241660118,0.5046728971962616,20260919,1.0,0.0
operational_mean_frontier,0.10773872276653733,0.01965426467359066,0.49065420560747663,20260919,1.0,69.54205607476635
old_score_proxy,0.10776122629649079,0.020436473190784454,0.48598130841121495,20260919,1.0,145.25233644859813
base,0.1094488302120577,0.01757167838513851,0.5233644859813084,20260920,1.0,0.0
fixed_level_1,0.10935536133909503,0.019453518092632294,0.4953271028037383,20260920,1.0,185.26168224299064
fixed_level_2,0.10952113809224732,0.018920304253697395,0.5,20260920,1.0,173.6448598130841
fixed_level_3,0.11034020244764248,0.019430391490459442,0.5141509433962265,20260920,0.9906542056074766,96.58018867924528
fixed_level_4,0.11003037177342924,0.017181815579533577,0.5187165775401069,20260920,0.8738317757009346,26.272727272727273
operational_theorem_frontier,0.1094488302120577,0.01757167838513851,0.5233644859813084,20260920,1.0,0.0
operational_mean_frontier,0.11000936397894494,0.019263310357928276,0.5093457943925234,20260920,1.0,33.070093457943926
old_score_proxy,0.109511182304914,0.0189039409160614,0.5046728971962616,20260920,1.0,129.82242990654206
base,0.11374266077556848,0.01957055926322937,0.5093457943925234,20260921,1.0,0.0
fixed_level_1,0.11411530430185064,0.020611481741070747,0.4953271028037383,20260921,1.0,194.7289719626168
fixed_level_2,0.11406621429100709,0.020555727183818817,0.4953271028037383,20260921,1.0,174.62616822429908
fixed_level_3,0.11421454946332896,0.019738368690013885,0.5145631067961165,20260921,0.9626168224299065,97.95631067961165
fixed_level_4,0.11404645280855204,0.018138619139790535,0.53125,20260921,0.897196261682243,26.515625
operational_theorem_frontier,0.11374266077556848,0.01957055926322937,0.5093457943925234,20260921,1.0,0.0
operational_mean_frontier,0.1132047776302246,0.018541593104600906,0.5233644859813084,20260921,1.0,82.72897196261682
old_score_proxy,0.1137412058334304,0.02026958577334881,0.5,20260921,1.0,154.58878504672896
